id,session_id,user_id,region,disability_flag,first_time_digital_user,language,total_turns,avg_asr_confidence,misunderstanding_rate,escalation_flag,service_code,app_status,session_outcome,avg_turn_duration_sec,total_user_errors,is_success
e137056c3fa9a1b52c9770da6d2c51f7,S2002,U1453,urban,false,false,KINYARWANDA,11,0.772,0.4,false,ID_REPLACEMENT,failed,transferred,7.8,1,0
108e24ebe3d71e887b0028a0c4461b43,S2003,U1411,urban,false,true,KINYARWANDA,14,0.7375,0.25,false,BIRTH_CERT,abandoned,completed,7.75,0,1
496ff1993636be21874f423c0d5255ac,S2004,U1116,urban,true,true,KINYARWANDA,10,0.9033333333333333,0.3333333333333333,false,LAND,completed,abandoned,6.0,0,0
c3f426e2015073e180f1037a9ef0ea41,S2006,U1153,rural,false,false,KINYARWANDA,6,0.64,0.2,false,ID_REPLACEMENT,abandoned,completed,8.6,0,1
7a168a7b0a137f67eec9373330f54226,S2007,U1152,rural,false,false,KINYARWANDA,3,0.7033333333333333,0.0,false,BIRTH_CERT,failed,abandoned,6.833333333333333,0,0
b970536a6fc38ae6ca4d8e92520a3595,S2011,U1303,urban,false,false,KINYARWANDA,10,0.6519999999999999,0.4,false,BIRTH_CERT,completed,completed,8.2,1,1
4b5bcdd6e0f74979a887982f65fdbeb9,S2012,U1292,urban,false,false,KINYARWANDA,12,0.745,0.5,false,BIRTH_CERT,completed,completed,7.25,3,1
8957566b2da4ecd1b9449ed28925f1fe,S2014,U1299,rural,false,false,KINYARWANDA,7,0.73,0.0,true,BIRTH_CERT,abandoned,completed,7.833333333333333,1,1
0eae2ca1d8bf4ab05da77bd2955f9daa,S2015,U1227,rural,false,true,KINYARWANDA,7,0.8146153846153846,0.23076923076923078,false,DL,failed,completed,9.153846153846153,2,1
dcfda637b79d4f91db5287f268a90af2,S2016,U1270,urban,false,false,KINYARWANDA,4,0.7075,0.125,false,LAND,abandoned,completed,5.375,0,1
074da3a61eaf68391c62c274f327b2c6,S2018,U1431,urban,false,false,KINYARWANDA,10,0.77,0.2,false,LAND,failed,completed,6.8,1,1
6b8248d76d252319df3318e6bd298afd,S2019,U1342,rural,false,false,KINYARWANDA,12,0.6533333333333333,0.3333333333333333,false,DL,completed,transferred,8.666666666666666,1,0
e3c01f13bf3887bfc8e52327befd2228,S2020,U1325,urban,false,true,KINYARWANDA,3,0.7388888888888888,0.1111111111111111,false,BIRTH_CERT,completed,completed,7.333333333333333,2,1
183d772f317caf8d251df52551a43639,S2022,U1497,rural,false,false,KINYARWANDA,12,0.7816666666666666,0.16666666666666666,false,ID_REPLACEMENT,abandoned,completed,9.666666666666666,1,1
f8d6096d4d66f166aee56ac7938e1dd7,S2024,U1378,urban,true,true,KINYARWANDA,7,0.72,0.0,false,LAND,completed,transferred,9.0,0,0
7451855cdd6f7635b577f2abc9cfea4e,S2027,U1020,urban,false,false,KINYARWANDA,11,0.7225,0.5,false,ID_REPLACEMENT,abandoned,completed,7.0,2,1
1dab90138de5e86ed7aa03acfdfa76c7,S2030,U1335,rural,false,false,KINYARWANDA,4,0.6875,0.375,false,ID_REPLACEMENT,completed,completed,9.0,2,1
3b086a0a99c4812cde876815fd4cec70,S2032,U1116,urban,true,true,KINYARWANDA,6,0.86,0.2,false,DL,completed,completed,8.0,2,1
e084b2d19df14e9481dccfa0d54711f2,S2033,U1123,rural,false,false,KINYARWANDA,10,0.745,0.25,false,ID_REPLACEMENT,completed,completed,9.25,2,1
